user_id,age,age_group_id,gender_id,job_type_id,daily_social_media_time,social_platform_id,number_of_notifications,notifications_category_id,work_hours_per_day,perceived_productivity_score,actual_productivity_score,stress_level,stress_category_id,sleep_hours,screen_time_before_sleep,breaks_during_work,uses_focus_apps,has_digital_wellbeing_enabled,coffee_consumption_per_day,days_feeling_burnout_per_month,weekly_offline_hours,job_satisfaction_score
1,56,1,1,1,4.180939775840407,1,61,1,6.75355840556201,8.04046395460586,7.291555269465855,4.0,1,5.116545502198779,0.4191024304440629,8,False,False,4,11,21.92707243727313,6.336688286435082
2,46,2,1,2,3.24960295371668,2,59,1,9.16929611963351,5.063368162322373,5.165092998005627,7.0,1,5.103896756553941,0.6715191847959994,7,True,True,2,25,0.0,3.4124272560804627
3,32,3,1,3,3.025912770735911,2,57,1,7.910952034409042,3.861762461136279,3.474053165692065,4.0,1,8.583221815294962,0.6243776158798261,0,True,False,3,17,10.322044274435632,2.474943628456001
4,60,1,2,1,3.025912770735911,1,59,1,6.355027219236192,2.9163309492583167,1.7748691740272262,6.0,1,6.05298417988897,1.204540403428085,1,False,False,0,4,23.876615633882547,1.7336704416826048
5,25,4,1,4,3.025912770735911,3,66,1,6.214096290148244,8.868752637090383,4.951804879665391,7.0,1,5.405706477416319,1.8762536932126064,1,False,True,1,30,10.653518724209473,9.693059763195668
6,38,3,1,3,1.5125684014587888,2,50,2,6.429312045749606,5.510488184340142,4.081025618987782,5.0,1,5.515250796669619,1.5186119585364193,5,False,True,5,2,0.0,4.5687282153026025
7,56,1,2,1,4.381069807409355,4,60,1,3.9023088372875216,6.420989452422723,5.976408248839262,7.0,1,7.54984870353225,2.252623658268498,4,False,False,4,20,24.084905103717787,5.50137319764614
8,36,3,2,5,4.0891677766283365,2,49,2,6.560467434739402,2.681829763722855,2.4469265730591663,4.0,1,6.325506938770657,0.7479976406845648,2,False,False,4,29,8.419648394574525,3.444376346020089
9,40,2,2,5,4.097400934778553,5,57,1,5.839590148525396,3.2190218425112147,3.004240077935848,4.0,1,6.500247461760461,0.0,10,False,True,2,10,0.0,1.9601308164011269
10,28,4,3,4,7.595577375716332,2,64,1,5.888936239563789,5.510488184340142,4.951804879665391,3.0,2,6.7619521629834365,1.4498411391518424,10,False,False,1,18,6.959376860040466,6.808102455066059
11,28,4,1,4,3.341558657666664,2,57,1,11.022034609577885,8.940636249933846,7.98325212177318,4.0,1,3.952547057449664,1.0286395697338595,5,True,True,1,3,13.514514952552608,9.41463650091356
12,41,2,2,3,2.200060569880046,2,59,1,10.14773194893199,7.696546030262496,4.951804879665391,9.0,3,6.091282606105073,0.8892562947903992,8,True,False,4,30,8.732449110645707,6.02892575531464
13,53,1,1,6,2.715759672403874,4,77,3,5.63715397676172,8.57550424943904,7.715133470742169,6.0,1,4.559258062716896,0.5992929925996221,5,False,False,0,15,4.956755156887391,8.770683446859982
14,57,1,1,5,0.0,2,60,1,6.8224418555077,8.850758210210204,7.930675032954072,5.0,1,6.764830217636996,1.3410698866980464,3,False,False,4,27,18.05265620437408,7.563357571684606
15,41,2,1,5,3.773326308046273,4,65,1,8.636782458133002,7.511934181164728,6.773922720050245,10.0,3,7.921161118521855,1.263446215973914,6,True,False,4,20,12.767973869284932,6.849160000184833
16,20,4,1,6,5.826311296588029,4,67,1,4.718497073144404,2.6458251909465096,2.8611708867422974,5.0,1,8.301198297157576,1.0870814432439675,9,False,False,4,0,8.095880944499394,2.179691634134968
17,39,3,1,3,2.3058030190036742,2,64,1,7.050821060219934,6.983516467268029,6.629586652811088,9.0,3,4.847608145889511,0.0701891824176556,2,False,False,3,9,12.110619932651424,4.96490086213521
18,19,5,1,2,5.621219699261981,2,52,1,8.201916407038443,2.154417163216769,2.062080419419904,1.0,2,5.2232112988402015,1.957238897968176,3,False,False,2,6,20.03264909482339,1.7317247371496371
19,41,2,2,2,3.025912770735911,2,47,2,8.618984052935092,8.515497659050606,7.428870814844699,5.0,1,6.275958604381801,0.0,2,False,False,2,26,0.2295106778577302,5.590405802498856
20,61,1,2,5,1.445357723648213,2,62,1,6.419898207050239,6.873341151925841,5.957136871135499,6.0,1,6.975413397877197,0.0,4,True,True,3,17,14.088958681842806,5.44230501943273
21,47,2,3,2,1.4376657344061785,4,63,1,7.61046105479489,7.832933411718364,6.969125318856361,7.0,1,5.399600829024012,1.0352279021586897,10,False,False,2,22,3.5657127073641317,6.49048125007927
22,55,1,2,3,0.0715034686384337,4,50,2,7.093237051352487,8.9687510927163,8.119665072027631,5.0,1,5.223283455334012,0.8803646735528823,2,False,False,1,21,4.72050127510353,8.548482374080775
23,19,5,1,2,5.916044259617864,2,65,1,6.592757485749668,3.873518582823957,2.974136908027594,5.0,1,5.546582305491265,0.8299391315458594,1,False,False,2,22,10.619488783288151,3.2074009749761734
24,38,3,1,4,4.030315420149807,4,57,1,6.299842055265692,6.851403385986502,6.073044145143145,7.0,1,5.006477533401897,1.2604472028596634,6,True,False,1,13,14.2517009923734,5.784979033352987
25,50,1,1,3,4.242185462336886,5,58,1,5.068888914640172,2.4288108550508287,1.4384179630413625,6.0,1,7.707290757209074,0.3485404165570244,7,True,False,2,14,14.331846886253956,0.8420772931458893
